,tweet_text,emotion_label
105,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",6.0
106,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,23.0
107,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,2.0
108,@Henkuyinepu it's overrated ,2.0
109,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,27.0
110,laying in bed with no voice.. ,27.0
111,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,23.0
112,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,24.0
113,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",27.0
114,@salancaster  hope your ok.,5.0
115,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,0.0
116,@HibaNick yeah aw but i know i wudnt stand a chance ,23.0
117,ugh. cant sleep. its 1:30am. ,2.0
118,Hanging in Crooners. Wanna sing. Can't. Sucks. ,23.0
119,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,23.0
120,Is pissed off that there's no ASBA's for a radio station. ,2.0
121,wednesday my b-day n don't know what 2 do!  ,6.0
122,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,1.0
123,I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,23.0
124,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",2.0
125,@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,27.0
126,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",2.0
127,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,23.0
128,I'm so cold ,27.0
129,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,27.0
130,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,27.0
131,Hoping the tummy rumbles go away soon ,22.0
132,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",23.0
133,almost bedtime ,27.0
134,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,19.0
135,Agh...snow!!! ,2.0
136,i miss kenny powers ,23.0
137,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",23.0
138,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",23.0
139,@JonathanRKnight I guess that's a no then. ,27.0
140,sadly is going to bed. ,23.0
141,@ozesteph1992 Shame to hear this Stephan ,24.0
142,@mrsaintnick hey! i'm leavin in the morning... ,27.0
143,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",23.0
144,laid around too much today... now my head hurts ,27.0
145,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,23.0
146,my nokia 1110 died..  ,23.0
147,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,15.0
148,Going to sleep. Hoping tomorrow is a better day. ,22.0
149,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,2.0
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,can't believe it! I'm in disbelief of it all in a way really. How much can I take from people and always get hurt by others!!,3.0
451,Car show season has started without me,15.0
452,my throat is raw.,26.0
453,@KevChoice I just don't get it. What in a persons mind could even have them on some ish like this???  My prayers are with her fam for real,3.0
454,@frago I hate you. I didn't need to see that. I need to call my therapist now.,2.0
455,Twilight didn't come yesterday  fingers crossed for today,20.0
456,@NileLegania glad I was able help you feel better. I hate to see you sick  Love you!,6.0
457,is tireddddddd. want to sleep but i have an assignment to finish and an exam tomorrow to study for,8.0
458,"You know, I was thinking... I need money",9.0
459,omg..its jst teusday,27.0
460,@ddlovato @David_Henrie ummmmm i cant find it.,6.0
461,Just heard that they found Sandra Cantu... She was only 8 yrs old,26.0
462,@corrosivecandy Ive forgotten how to snoo-snoo  I wonder if snoo-snoo and I will ever meet again...,6.0
463,@AmaNorris wow that last tweet made me seem like a giant sexist...sorry about that,14.0
464,"My bathtub drain is fired: it haz 1 job 2 do, &amp; it iz FAIL. I got all Drano on its ass, &amp; iz STILL NOT DRAINING. I wanna shower, dangit!!",2.0
465,stuck at home,26.0
466,@nomadicmatt mine is 1/10  how do you get it up?,6.0
467,Duckling in famous children's book stolen from Boston's Public Garden - The Boston Globe http://tinyurl.com/dc2htx via @ShareThis OH NO!!,26.0
468,"@Appomattox_News Thank you! However, I hate to be on the same list that includes 2 convicts.",1.0
469,"Heading to Altrincham, again! Out of hours install",1.0
470,MORNING!!! Good im bloody knackered!!! Work is not for me today  HELPPP!!!! xxx,26.0
471,@jeffreecuntstar  I don't have a garage.  But you can park in my driveway!,0.0
472,@lauredhel  What happened?,6.0
473,"""On popular music"" by T.W.Adorno is probably the most difficult reading ever prescribed, I'm actually struggling to continue",3.0
474,"http://twitpic.com/2y36e - cant see the flowers falling  i dont have a camera, just my cellphone",26.0
475,"We've been good. I'm not liking the snow right now, was getting used to the nice Spring-like weather.  How about you?",3.0
476,@brian_armstrong What a pity YouTube is currently blocked in China.  I can't see the vids.,26.0
477,@margaretcho what happened to your show it was the hightlight of my life,26.0
478,This is the best leather sofa in the world!  It's in the office though which means I'm still here working,8.0
479,Still 3 more days until my Internet gets uncapped,3.0
480,"If he doesn't get better in a few days, he could have something lodged in his belly",14.0
481,i Love my atekinzz so much. && i soo miss her..,18.0
482,I wanna sneak into the zoo and play with the kitties,9.0
483,@lolitariot oh no  hope you're not getting sick too!,4.0
484,@alejandralei i dont think i can cause its my cousins birthday party,15.0
485,"Our sweet little man just fell asleep while waiting up for daddy and big brother to get home!  Poor baby, he missed them so much today!",26.0
486,the angel is going to miss the athlete this weekend,26.0
487,trust is hard,26.0
488,have watched that considering today. yaknow. shawnna tomomorrow;i need my bestfriend,26.0
489,Grr i want to keep reading but if i do i wont have anything left to read,3.0
490,"atekinzz, where in the world are you??",6.0
491,@RumLover No! u supposed to be my date,3.0
492,"pears & Brie, bottle of Cabernet, and ""Win a Date With Tad Hamilton""... oh gawwd my life flashed forward to when I'm 40 with my 75 cats",0.0
493,Crap. I need more dresses too.,3.0
494,@kaeeeep yeah! i know! it was horrible!!!! ugh. saddening.,26.0
495,@Brodhe geez ur no fun are you,3.0
496,I wanna be in a punk rock band again,9.0
497,@jyesmith That's a lot of angst for a Tuesday afternoon,0.0
498,I'm very glad Britney isn't crazy anymore! That was one hell of a show! Now I'm sad that it's over.  Next up...AP at Cook County!,26.0
499,has a huuuge headache! omg I feel like crap!,26.0
500,@Anistorm Sorry,24.0
501,@cleders sorry...i was rooting for them too...,24.0
502,"Man, that took forever.",3.0
503,@shandasaurus  I see.,27.0
504,I am listing more items on ebay to sell!  Takes forever..meanwhile Coleman is watching The Hills season premier without me..,3.0
505,"Just got my presentation done, 23 slides done...  I'm crying for this week will be the hardest of all weeks.",15.0
506,Just lost $160,26.0
507,I don't like the previously on skins thing that starts at season two. I like it when it went straight into the intro like before,3.0
508,@Houndour ...i wish i was there...i'm pretty good at scaring the shit out of people,9.0
509,Going to sound vain... but running out of my fav lip gloss,26.0
510,"@stuiy never again will I click on a link that screams, ""I'm a spider, I'm a spider"". I should have known better. yucky",11.0
511,Why is that when you have time off from work you get sick?,6.0
512,@pratama Same iMac came out $320 more in Indonesia than the States.,3.0
513,Dammit... I need to stop buying furniture,3.0
514,@Miss_Sil no i was half asleep and turned off the laptop after that,27.0
515,"Death is peaceful,  life however, bites",26.0
516, i think @JonathanRKnight lost the net ? sure hope not,14.0
517,"http://is.gd/r8Zf,  http://is.gd/r8Zy, and  http://is.gd/r8ZG - test footage with my girlfriend (in HD) The dark one is underxposed",27.0
518,Such a tough game to watch tonight for State  Finally going to bed after also staying up to watch the season premiere of the Hills!,3.0
519,Seems jRuby support for hpricot is now two versions behind,27.0
520,@JinxCat Unlike my sister...I still don't have one,26.0
521,Fraking app store is pissing me off   http://tinyurl.com/c4ooho,2.0
522,Logging out. I need to study....,27.0
523,anyone else having problems accessing TTB??? I cant get on!!!,3.0
524,I strongly dislike people who make stupid comments and dont know the whole story,10.0
525,"@emmaketurah  i'm sorry Emma, is swarley a goldfish? i'm sad for u.",26.0
526,"All my tweets are already gone, aren't they  Missed you guys tonight.",26.0
527,Can't sleep again. Face is kinda swollen. Don't let me be allergic to the thing that'll get me to Thursday. School tomorrow? Doubtful.,14.0
528,"@Snick_the_Dog If Izzy's on the cat tree, she'll stare him down, but if she's on the floor, he chases and she runs.",27.0
529,I am officially banning godaddy.com from my comp. My head hurts from the small print AND I wasted $10 that could've happily gone to Boba,2.0
530,@HumanOpium pretty much just scary for me,14.0
531,@ilovepie mines too... I'm finding it well hard to get fit...,3.0
532,"Good morning! Ready 2 go, but I want 2 go back 2 bed",3.0
533,hates waiting for mails,3.0
534,wheat bread from the dollar store just doesn't toast nicely  going over my taxes and calling it an early night,3.0
535,"Why Kutner? I mean I knew something was going to happen to someone but it was so sad. I &lt;3 House and it was well done, but I'm still sad",26.0
536,@JonathanRKnight aw ok goonite....,18.0
537,ill so i cant go to the cinema!!,26.0
538,Fell asleep . . . Really didn't mean too  *christina*,24.0
539,"@KelleyRowe hey, you remember that time we used to be friends?? ;)  ugh. vomit. sick.  i need sleep",11.0
540,my lymph nodes are as massive as rahm emanuel's balls right now,26.0
541,Oh no my computer sucks. I don't think i'll be able to listen to the Xbox 360 Fancast tonite,26.0
542,is missing playing my trumpet,26.0
543,My throat is still really sore. I was meant to be going on a 5 day camp from Friday but not so sure now,26.0
544,@sasii I know exactly how you feel!,4.0
545,At work,27.0
546,Well bed time now. 1 am. *sighs* Back to 6 am mornings for a week on Wednesday.,26.0
547,@hert Jesus Camp? Yeah...,27.0
548,"@MaryBethune oh no! with everything that happened today, i forgot we were going dress shopping for the opera tomorrow.",24.0
549,Turtles are better than my Mac - lasts longer and moves faster,0.0
550,I am soaked. This is not pleasant,3.0
551,@ginayates Sorry to hear about Maggie.    Thoughts to your mum.,4.0
552,"@ewarden, you may have to email this one to me  I hope you feel better.",4.0
553,@miamiiboii dead @ yu gettin on wen im leavin,3.0
554,@arlenecd PLEASE TELL ME THAT'S SOMEWHERE CLOSE TO CALIFORNIA!!! LOL!,5.0
555,@phlaimeaux where are you?,6.0
556,stupid arranged marriages... i'll convert so you can marry me...love you!,18.0
557,"@emilyruppe Well he said that he is a looser, and that is what the show implies",27.0
558,Poor Sandra Cantu & the Cantu family! My prayers go out to them! What a sick world we live in. She was only 8,26.0
559,fuck omg  austins always there though man &lt;3 love you,18.0
560,@nicolerichie I cried so hard when Matthew died,26.0
561,sad that the 'feet' of my macbook just fell off : sad that the 'feet' of my macbook just fell off,26.0
562,@chordsy - why am I the last to find out about these things? Like that you're on the twitter too.,3.0
563,@lovebscott absolutely not!!,10.0
564,http://twitpic.com/2y3cf - Filled with curry  the true indian in me is coming out,27.0
565,im soooo cold right now,26.0
566,@heidimontag lol I kant believe cam got beat upp sooo embarasssiiiin,12.0
567,@JonathanRKnight Good Knight hun! Looking forward to ur tweets again! Hate that i keep missing out on the fun cuz of the time difference,26.0
568,Tumblr: This is exactly how it feels wearing a tie  http://tinyurl.com/c8bvqh,27.0
569,@daniela_95616 hahaa!! i just realized &quot;impune&quot; definitely isnt the word i wanted... dang. i'm so unclever.,12.0
570,watching old videos of dance team and such... makes me miss it,26.0
571,Wahh  no CSI anywhere! DVR'ed I Love Money 2 though - gonna watch it then sleep - Goodnight Tweeters&lt;3,3.0
572,Struggling hard with Inventory,26.0
573,@ddlovato Do you hate us?? Please don't,14.0
574,@ballinbitch haha im not THAT ballin. I still got bills to paaaaay,0.0
575,I'm in one of those days when I really just want to work from home.  Crap.,3.0
576,@paul_e_wog Wait...is it a game or just episodes? I'm so confused.,6.0
577,@carlyw66 HAHA. I cried...  I guess he did....,0.0
578,I don't get statistics!  Its all a bunch of mumbo jumbo for me.,6.0
579,"@sloanb Got it, sadly, only works for UK & US at the moment",26.0
580,Evicted,26.0
581,doesn't enjoy learning CSS.,3.0
582,@nachojohnny Brian don't make me fuck u up LOL I replied 2 ur message...did u get my # ? I miss u,2.0
583,"@heidimontag I  dvr'd it and went to watch it, apparently the dish network went down SO I MISSED IT    I will have to catch a rerun!",15.0
584,@JessDubb lmao. U may have to wait for another season to come thru. its summe boo. Hot nd dry ass weather,27.0
585,@LizChavez I can't set my feet on the ground. The missing eyelid people might get me!,14.0
586,@daniela_95616 my english professor would be ashamed.,12.0
587,[-O] I wish the frogs weren't becoming extinct    http://tinyurl.com/cxe8w7,26.0
588,"Came home from Cross County, Tired as",26.0
589,I don't want to walk home in this snow. Who wants to pick me up?,3.0
590,"@heidimontag Lauren is being stubborn. she loves you, you love her.  I feel so bad for you, though. it made me cry  lol!",6.0
591,is grouchy. and wants bmar,2.0
592,"my heart is broken every morning dropping Foo at pre school, now i understand when moms say ""he has my heart broken"".",26.0
593,Not feeling well and back hurts,26.0
594,Im in the mood for some chocolate. I want..... Miniature Reeses cups. Now,9.0
595,I can't take this heat! It's like an oven in here. I feel sick nwo,3.0
596,@nick_carter Come to the chat  just 15 minutes  please? http://fanclub.backstreetboys.com/chat.php,9.0
597,Boredd. Colddd  Internet keeps stuffing up,3.0
598,"I had a horrible nightmare last night which affected my sleep, now I'm really tired",14.0
599,"im lonely  keep me company! 22 female, new york",26.0
600,,
601,,
602,,
603,,
604,,
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,,
616,,
617,,
618,,
619,,
620,,
621,,
622,,
623,,
624,,
625,,
626,,
627,,
628,,
629,,
630,,
631,,
632,,
633,,
634,,
635,,
636,,
637,,
638,,
639,,
640,,
641,,
642,,
643,,
644,,
645,,
646,,
647,,
648,,
649,,
650,,
651,,
652,,
653,,
654,,
655,,
656,,
657,,
658,,
659,,
660,,
661,,
662,,
663,,
664,,
665,,
666,,
667,,
668,,
669,,
670,,
671,,
672,,
673,,
674,,
675,,
676,,
677,,
678,,
679,,
680,,
681,,
682,,
683,,
684,,
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,
703,,
704,,
705,,
706,,
707,,
708,,
709,,
710,,
711,,
712,,
713,,
714,,
715,,
716,,
717,,
718,,
719,,
720,,
721,,
722,,
723,,
724,,
725,,
726,,
727,,
728,,
729,,
730,,
731,,
732,,
733,,
734,,
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,,
744,,
745,,
746,,
747,,
748,,
749,,
750,,
751,,
752,,
753,,
754,,
755,,
756,,
757,,
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,,
781,,
782,,
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
825,,
826,,
827,,
828,,
829,,
830,,
831,,
832,,
833,,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,,
843,,
844,,
845,,
846,,
847,,
848,,
849,,
850,,
851,,
852,,
853,,
854,,
855,,
856,,
857,,
858,,
859,,
860,,
861,,
862,,
863,,
864,,
865,,
866,,
867,,
868,,
869,,
870,,
871,,
872,,
873,,
874,,
875,,
876,,
877,,
878,,
879,,
880,,
881,,
882,,
883,,
884,,
885,,
886,,
887,,
888,,
889,,
890,,
891,,
892,,
893,,
894,,
895,,
896,,
897,,
898,,
899,,
900,,
901,,
902,,
903,,
904,,
905,,
906,,
907,,
908,,
909,,
910,,
911,,
912,,
913,,
914,,
915,,
916,,
917,,
918,,
919,,
920,,
921,,
922,,
923,,
924,,
925,,
926,,
927,,
928,,
929,,
930,,
931,,
932,,
933,,
934,,
935,,
936,,
937,,
938,,
939,,
940,,
941,,
942,,
943,,
944,,
945,,
946,,
947,,
948,,
949,,
950,,
951,,
952,,
953,,
954,,
955,,
956,,
957,,
958,,
959,,
960,,
961,,
962,,
963,,
964,,
965,,
966,,
967,,
968,,
969,,
970,,
971,,
972,,
973,,
974,,
975,,
976,,
977,,
978,,
979,,
980,,
981,,
982,,
983,,
984,,
985,,
986,,
987,,
988,,
989,,
990,,
991,,
992,,
993,,
994,,
995,,
996,,
997,,
998,,
999,,
1000,,
1001,,
1002,,
1003,,
1004,,
1005,,
1006,,
1007,,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,
1038,,
1039,,
1040,,
1041,,
1042,,
1043,,
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,,
1061,,
1062,,
1063,,
1064,,
1065,,
1066,,
1067,,
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
